(133, 5147)
(390, 1776)
(391, 1777)
(553, 23)
(617, 3351)
(618, 3350)
(705, 1791)
(993, 1643)
(1180, 3888)
(1474, 807)
(1475, 808)
(1590, 1519)
(1590, 4894)
(1654, 2043)
(1766, 1905)
(1905, 4109)
(1919, 3515)
(1975, 5183)
(2182, 2100)
(2183, 2099)
(2198, 1513)
(2199, 1512)
(2200, 1511)
(2315, 2072)
(2372, 4352)
(2373, 4353)
(2374, 4354)
(2426, 3737)
(2475, 1682)
(2476, 3288)
(2476, 1681)
(2477, 4956)
(2511, 5419)
(2527, 3913)
(2528, 3912)
(2580, 4574)
(2637, 3054)
(2638, 3053)
(2707, 3567)
(2729, 4425)
(2763, 3906)
(2974, 1502)
(3086, 144)
(3087, 143)
(3175, 2290)
(3332, 1675)
(3333, 1676)
(3334, 1677)
(3531, 4345)
(3576, 1332)
(3576, 2794)
(3577, 1333)
(3577, 2793)
(3577, 3420)
(3577, 4126)
(3578, 2792)
(3578, 3419)
(3706, 1944)
(3707, 1945)
(3708, 1946)
(4336, 4682)
(4354, 5188)
(4355, 5187)
(4412, 4785)
(4445, 595)
(4502, 218)
(4503, 1536)
(4504, 1535)
(4572, 3362)
(4639, 2696)
(4769, 104)
(4770, 2065)
(4807, 4542)
(4840, 4362)
(4875, 5074)
(5030, 832)
(5031, 833)
(5141, 3847)
(5142, 3846)
(5143, 3845)
(5144, 3844)
(5145, 3843)
(5146, 3842)
(5191, 547)
(5674, 4819)
(5684, 2630)
(5726, 4088)
(5737, 2132)
(5789, 2161)
(5842, 3067)
(5912, 1341)
(6209, 3993)
(6437, 3707)
(6450, 3477)
(6465, 2706)
(6465, 3927)
(6466, 3928)
(6578, 5023)
(6608, 3066)
(6610, 2571)
(6611, 2572)
(6714, 1235)
(6737, 3356)
(7174, 2188)
(7175, 2189)
(7230, 4099)
(7258, 3776)
(7320, 1777)
(7353, 4724)
(7386, 743)
(7387, 2208)
(7624, 3149)
(7692, 273)
(7726, 2506)
(7860, 728)
(8116, 1975)
(8129, 1606)
(8234, 955)
(8235, 954)
(8236, 953)
(8237, 952)
(8238, 951)
(8245, 5103)
(8626, 864)
(8634, 476)
(8696, 1452)
(8701, 1386)
(8729, 2310)
(8776, 2381)
(9432, 1004)
(9487, 4891)
(9563, 985)
(9564, 986)
(9809, 4040)
(9810, 4041)
(9811, 4042)
(9812, 4043)
(9992, 4248)
(10019, 2137)
(10077, 170)
(10145, 1652)
(10526, 815)
(10527, 814)
(10762, 349)
(10830, 2932)
(10831, 2931)
(10893, 4360)
(10931, 736)
(10966, 77)
(11071, 2579)
(11072, 2580)
(11073, 2581)
(11145, 2247)
(11216, 1966)
(11217, 1965)
(11254, 5124)
(11384, 1763)
(11384, 3181)
(11385, 1762)
(11405, 989)
(11406, 988)
(11414, 2715)
(11495, 678)
(11551, 744)
(11642, 4961)
(11835, 5520)
(11914, 2654)
(11915, 2655)
(12120, 1860)
(12121, 1861)
(12122, 1862)
(12123, 1863)
(12263, 362)
(12639, 3182)
(12640, 3183)
(12728, 5494)
(12758, 969)
(12758, 3700)
(12759, 968)
(12759, 3699)
(12760, 967)
(12760, 3698)
(12761, 966)
(12761, 3697)
(12762, 3696)
(12771, 197)
(12874, 127)
(13099, 1835)
(13100, 1836)
(13585, 2579)
(13595, 496)
(13620, 3496)
(13768, 4477)
(13769, 4478)
(13818, 758)
(13819, 757)
(13820, 756)
(13840, 3896)
(13864, 4069)
(13982, 3160)
(13982, 4286)
(13983, 3161)
(13983, 4285)
(13983, 4296)
(14250, 4513)
(14298, 1292)
(14675, 1224)
(14928, 4317)
(15079, 2946)
(15472, 4431)
(15533, 5259)
(15594, 349)
(15672, 1339)
(15673, 1340)
(15776, 2774)
(16104, 525)
(16105, 524)
(16140, 1364)
(16141, 1363)
(16220, 2718)
(16567, 1633)
(16606, 4423)
(16633, 2278)
(16634, 2277)
(16884, 4458)
(16885, 4459)
(16886, 4460)
(16886, 5497)
(16962, 3935)
(17583, 3556)
(17669, 288)
(17670, 289)
(17721, 911)
(17722, 912)
(17798, 2471)
(17897, 2452)
(18172, 1127)
(18173, 1126)
(18174, 1125)
(18175, 1124)
(18195, 1823)
(18269, 2489)
(18282, 3161)
(18282, 4285)
(18282, 4296)
(18326, 2896)
(18403, 1448)
(18607, 1770)
(18701, 5367)
(19098, 59)
(19098, 4024)
(19099, 4025)
(19311, 5221)
(19315, 2191)
(19525, 1482)
(19832, 194)
(19833, 4907)
(19833, 193)
(19833, 4147)
(19834, 4146)
(19912, 5317)
(19913, 5318)
(19916, 3360)
(19983, 1767)
(19984, 1766)
(19985, 1765)
(20108, 3477)
(20245, 1566)
(20585, 5310)
(20734, 5241)
(20780, 1538)
(20903, 4474)
(20946, 732)
(21019, 5531)
(21238, 641)
(21343, 1870)
(21509, 3289)
(21509, 1680)
(21510, 1679)
(21667, 1234)
(21668, 1235)
(21745, 3257)
(21809, 2838)
(21890, 5179)
(21891, 802)
(22073, 2051)
(22258, 1801)
(22282, 2293)
(22430, 399)
(22452, 5148)
(22453, 5147)
(22454, 5146)
(22488, 4257)
(22684, 4364)
(23041, 1073)
(23087, 2697)
(23179, 4384)
(23180, 4383)
(23199, 3779)
(23200, 3017)
(23200, 3780)
(23271, 223)
(23624, 3324)
(23625, 3323)
(23654, 2379)
(23657, 914)
(23767, 5090)
(23792, 818)
(23793, 817)
(23873, 784)
(24052, 370)
(24095, 3151)
(24096, 3150)
(24103, 3054)
(24186, 2542)
(24276, 2874)
(24277, 2873)
(24403, 4269)
(24436, 4442)
(24707, 3696)
(24712, 5160)
(24778, 2060)
(24804, 88)
(24994, 336)
(24995, 335)
(25027, 5247)
(25052, 1523)
(25165, 4829)
(25232, 4685)
(25233, 4686)
(25245, 3579)
(25516, 2252)
(25675, 1572)
(25740, 5315)
(25814, 2578)
(26005, 4350)
(26011, 3156)
(26032, 2848)
(26034, 132)
(26182, 5382)
(26182, 3299)
(26182, 5205)
(26183, 5383)
(26184, 5384)
(26185, 5385)
(26276, 1594)
(26301, 4052)
(26332, 2377)
(26371, 4528)
(26372, 4527)
(26489, 4121)
(26494, 811)
(26494, 3830)
(26494, 4922)
(26495, 4921)
(26561, 5194)
(26597, 3154)
(26612, 3941)
(26620, 1850)
(26620, 3770)
(26620, 4712)
(26751, 1115)
(26752, 1116)
(26843, 2061)
(26844, 2060)
(26903, 5127)
(27025, 4368)
(27041, 2526)
(27041, 5220)
(27104, 3444)
(27427, 2176)
(27428, 2175)
(27474, 5425)
(27475, 5424)
(27570, 2011)
(27775, 4246)
(27788, 3856)
(27897, 4954)
(27955, 504)
(27960, 31)
(27995, 5465)
(27996, 5464)
(28118, 2706)
(28118, 3927)
(28119, 3928)
(28137, 5143)
(28138, 5142)
(28188, 3397)
(28233, 4788)
(28234, 3734)
(28234, 4789)
(28347, 5256)
(28403, 2300)
(28660, 4879)
(28661, 4880)
(28694, 1155)
(28695, 1156)
(28715, 5146)
(28716, 5147)
(29048, 326)
(29060, 2290)
(29061, 2289)
(29437, 242)
(29446, 416)
(29457, 2357)
(29458, 2358)
(29479, 4113)
(29711, 2052)
(29974, 4812)
(30274, 2189)
(30431, 2725)
(30432, 2724)
(30433, 2723)
(30694, 1890)
(30698, 3861)
(30823, 4050)
(31305, 1674)
(31510, 5536)
(31809, 3898)
(31834, 4570)
(31835, 4571)
(31933, 1021)
(32013, 1649)
(32014, 1648)
(32561, 418)
(32647, 3306)
(32845, 3614)
(32846, 3613)
(32890, 5382)
(32890, 3299)
(32890, 5205)
(32891, 3298)
(32891, 5204)
(33016, 184)
(33017, 185)
(33095, 1623)
(33096, 1622)
(33099, 1170)
(33103, 4946)
(33172, 4716)
(33295, 1503)
(33398, 599)
(33399, 598)
(34080, 904)
(34269, 2493)
(34345, 2656)
(34346, 2657)
(34564, 4106)
(34634, 2095)
(34635, 2096)
(34643, 4956)
(34644, 1681)
(34644, 3288)
(34645, 1682)
(34808, 3375)
(34977, 1222)
(35004, 5016)
(35359, 2152)
(35360, 2153)
(35361, 2154)
(35491, 3769)
(35491, 4711)
(35561, 3948)
(35562, 4984)
(36007, 957)
(36104, 1227)
(36118, 4990)
(36314, 1485)
(36315, 1484)
(36361, 2325)
(36480, 5471)
(36805, 5290)
(36806, 5289)
(37131, 761)
(37132, 762)
(37133, 763)
(37188, 4227)
(37203, 841)
(37336, 1544)
(37342, 4418)
(37392, 5103)
(37438, 158)
(37438, 2238)
(37473, 865)
(37538, 5154)
(37570, 1753)
(37592, 1277)
(37593, 4187)
(37593, 1276)
(37766, 2875)
(37814, 145)
(37878, 3554)
(37969, 2664)
(37970, 2665)
(38026, 5386)
(38237, 2738)
(38238, 2737)
(38297, 694)
(38476, 5086)
(38496, 692)
(38519, 2632)
(38573, 1861)
(38639, 1851)
(38639, 3771)
(38640, 1850)
(38640, 3770)
(38640, 4712)
(38641, 3769)
(38641, 4711)
(38706, 3951)
(38777, 4429)
(38859, 1741)
(38887, 3758)
(39368, 3549)
(39369, 3548)
(39372, 4785)
(39373, 4786)
(39374, 4787)
(39375, 4788)
(39376, 3734)
(39376, 4789)
(39429, 3496)
(39469, 3129)
(39478, 3102)
(39573, 277)
(39574, 278)
(39575, 279)
(39589, 1479)
(39616, 1012)
(39668, 75)
(39752, 2351)
(39754, 1194)
(39761, 4322)
(39762, 4321)
(39890, 2)
(39932, 3220)
(39942, 5305)
(40099, 516)
(40156, 128)
(40157, 129)
(40158, 130)
(40159, 131)
(40159, 1949)
(40248, 48)
(40249, 49)
(40305, 3524)
(40360, 3883)
(40361, 3884)
(40391, 2765)
(40754, 4012)
(40755, 4013)
(40802, 4733)
(40876, 120)
(41001, 2437)
(41041, 3423)
(41049, 2052)
(41157, 3347)
(41169, 5032)
(41359, 2096)
(41411, 4358)
(41412, 4357)
(41427, 250)
(41487, 3048)
(41558, 514)
(41634, 5517)
(42044, 2993)
(42045, 5412)
(42158, 254)
(42302, 1105)
(42422, 5522)
(42519, 223)
(42560, 1657)
(42787, 546)
(42788, 547)
(42789, 548)
(42790, 549)
(42955, 1770)
(42956, 1769)
(43321, 2017)
(43628, 4889)
(43781, 5111)
(43782, 5112)
(43824, 2986)
(43865, 5536)
(44131, 2457)
(44132, 2458)
(44141, 2318)
(44183, 3744)
(44318, 4326)
(44319, 4327)
(44639, 3934)
(44640, 3933)
(44648, 3051)
(44649, 3052)
(44748, 1798)
(44749, 1797)
(44750, 1796)
(44751, 1795)
(44793, 2277)
(44794, 2278)
(44829, 2370)
(44857, 3464)
(44889, 5518)
(44931, 4564)
(44932, 4565)
(45030, 166)
(45044, 1819)
(45044, 2944)
(45167, 5098)
(45225, 4057)
(45226, 4058)
(45260, 618)
(45284, 4260)
(45482, 5401)
(45512, 5108)
(45696, 4498)
(45707, 3359)
(45708, 3360)
(45871, 528)
(45872, 527)
(45935, 199)
(46091, 419)
(46092, 420)
(46182, 5526)
(46371, 3887)
(46380, 1442)
(46392, 1749)
(46393, 1748)
(46605, 1736)
(46606, 1737)
(46607, 1738)
(46610, 3049)
(46611, 3048)
(46694, 898)
(46711, 5509)
(46879, 1058)
(46916, 2046)
(46917, 2047)
(47101, 4881)
(47577, 5506)
(47578, 5507)
(47642, 2801)
(47665, 2317)
(47795, 4842)
(47799, 236)
(48025, 3935)
(48105, 2127)
(48106, 2128)
(48195, 2983)
(48196, 2984)
(48197, 3878)
(48504, 3724)
(48595, 784)
(48646, 3286)
(48647, 3287)
(48648, 3288)
