21
0	467	458	622	621	468	670	530	724	869	627	454	702	489	698	472	623	656	636	523	518	
467	0	735	571	532	642	466	755	767	715	533	723	584	874	688	855	620	562	666	808	748	
458	735	0	470	480	719	444	529	638	476	505	700	443	695	772	794	646	567	840	708	693	
622	571	470	0	674	511	677	789	593	515	786	704	771	654	582	742	717	881	839	876	667	
621	532	480	674	0	501	591	828	452	879	570	526	592	597	806	457	836	556	739	607	527	
468	642	719	511	501	0	641	486	465	800	514	679	599	731	499	598	734	639	551	616	631	
670	466	444	677	591	641	0	503	882	821	473	831	650	661	659	711	573	729	858	487	726	
530	755	529	789	828	486	503	0	822	730	536	809	600	774	645	612	732	626	799	619	815	
724	767	638	593	452	465	882	822	0	471	736	817	741	862	609	581	710	787	846	843	560	
869	715	476	515	879	800	821	730	471	0	776	837	558	448	490	563	483	663	445	778	761	
627	533	505	786	570	514	473	536	736	776	0	746	545	870	494	875	509	810	752	690	733	
454	723	700	704	526	679	831	809	817	837	746	0	859	524	655	757	577	614	602	864	517	
702	584	443	771	592	599	650	600	741	558	545	859	0	520	801	804	867	775	826	652	481	
489	874	695	654	597	731	661	774	862	448	870	524	520	0	860	552	522	611	488	484	696	
698	688	772	582	806	499	659	645	609	490	494	655	801	860	0	834	782	852	743	851	880	
472	855	794	742	457	598	711	612	581	563	875	757	804	552	834	0	542	877	682	506	460	
623	620	646	717	836	734	573	732	710	483	509	577	867	522	782	542	0	866	635	492	605	
656	562	567	881	556	639	729	626	787	663	810	614	775	611	852	877	866	0	835	647	750	
636	666	840	839	739	551	858	799	846	445	752	602	826	488	743	682	635	835	0	725	662	
523	808	708	876	607	616	487	619	843	778	690	864	652	484	851	506	492	647	725	0	816	
518	748	693	667	527	631	726	815	560	761	733	517	481	696	880	460	605	750	662	816	0	
